baseline,orbit_from,orbit_to,handover_time_s,lead_time_s,loss,seed,run_id,t90_us,goodput_bytes,peak_queue,converged
3,1,2,60,30,0,2031403296,0,19763049,55856767,4389512,1
3,1,2,60,20,0,1043665192,0,11678081,57572956,1317104,1
3,1,2,120,0,0,817804383,0,9504208,65225749,1317104,1
3,1,2,120,2,0,405126228,0,13653863,54767396,1732768,1
3,1,2,120,5,0,416314667,0,0,7063543,12882663,0
3,1,2,120,20,0,1521696479,0,11680365,58716906,1411004,1
3,1,2,120,10,0,1851350739,0,15662865,55099967,2194754,1
3,1,2,120,30,0,1819256337,0,7724387,63169480,1317104,1
4,0,2,30,0,0,2005855667,0,2502390,55772571,910204,1
3,1,2,120,60,0,1765670844,0,6706271,64384135,1317104,1
4,0,2,30,2,0,232663462,0,2502704,57332741,908952,1
4,0,2,30,5,0,422701550,0,2502390,55772571,910204,1
4,0,2,30,10,0,260329455,0,2502721,55966099,908952,1
4,0,2,30,30,0,1457293575,0,45552856,51542046,726160,1
4,0,2,30,20,0,1729245242,0,2502286,56162040,910204,1
4,0,2,60,0,0,469306919,0,8529904,58013111,861376,1
4,0,2,60,2,0,1067970820,0,2501450,57133090,920220,1
4,0,2,60,5,0,822873088,0,2501474,57131872,920220,1
4,0,2,60,10,0,816941039,0,2501373,56481131,920220,1
4,0,2,60,20,0,1926780541,0,8529904,58013111,861376,1
4,0,2,60,30,0,602078388,0,2501464,56639979,920220,1
4,0,2,60,60,0,1811967841,0,7566943,63809624,1373444,1
4,0,2,120,0,0,788075126,0,0,524288000,764972,0
4,0,2,120,2,0,1196342297,0,0,524288000,764972,0
4,0,2,120,5,0,1986972437,0,0,524288000,764972,0
4,0,2,120,10,0,1072910527,0,0,524288000,764972,0
4,0,2,120,20,0,323775634,0,0,524288000,764972,0
4,0,2,120,30,0,1903232052,0,0,524288000,764972,0
4,0,1,30,0,0,217275224,0,9502023,179871287,764972,1
4,0,1,30,2,0,63384488,0,9501908,179870069,764972,1
4,0,2,120,60,0,420514789,0,0,524288000,764972,0
4,0,1,30,5,0,400560567,0,9502023,179871287,764972,1
4,0,1,30,10,0,1015242176,0,9501924,179870069,764972,1
4,0,1,30,20,0,714300770,0,9501919,179871287,764972,1
4,0,1,30,30,0,1745535098,0,8502414,173806468,600960,1
4,0,1,60,0,0,2085812759,0,9500906,151831882,764972,1
4,0,1,60,2,0,2067418686,0,9501402,151851370,764972,1
4,0,1,60,5,0,918037633,0,9501425,151851370,764972,1
4,0,1,60,10,0,1722454917,0,9501324,151851370,764972,1
4,0,1,60,20,0,251837136,0,9500903,151831882,764972,1
4,0,1,60,30,0,707111048,0,9501350,151851356,764972,1
4,0,1,60,60,0,1627677155,0,3501504,180462896,600960,1
4,0,1,120,0,0,9257255,0,0,524288000,764972,0
4,0,1,120,2,0,1676848676,0,0,524288000,764972,0
4,0,1,120,5,0,1139038460,0,0,524288000,764972,0
4,0,1,120,10,0,1954246074,0,0,524288000,764972,0
4,0,1,120,20,0,1225136114,0,0,524288000,764972,0
4,0,1,120,30,0,1816803306,0,0,524288000,764972,0
4,1,2,30,0,0,664847319,0,2500727,67442164,1900536,1
4,1,2,30,2,0,815605132,0,2501591,67408820,5810520,1
4,1,2,30,5,0,1274350418,0,2501692,67575572,2127148,1
4,0,1,120,60,0,2090237817,0,0,524288000,764972,0
4,1,2,30,30,0,261810763,0,41563773,29296295,726160,1
4,1,2,30,10,0,935018220,0,2500701,67022385,1905544,1
4,1,2,30,20,0,251183830,0,2501455,67218671,4465884,1
4,1,2,60,0,0,1346922426,0,2501839,66825034,2033248,1
