baseline,orbit_from,orbit_to,handover_time_s,lead_time_s,loss,n_runs,n_converged,t90_median_us,t90_p25_us,t90_p75_us,goodput_mean_bytes,goodput_ci95_bytes,peak_queue_median
2,0,2,120,20,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0
2,0,2,120,30,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0
2,0,2,120,60,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0
2,1,2,30,0,0,1,1,1501206.0,1501206.0,1501206.0,62748234.0,0.0,1317104.0
2,1,2,30,2,0,1,1,1500601.0,1500601.0,1500601.0,66101490.0,0.0,1317104.0
2,1,2,30,5,0,1,1,1500616.0,1500616.0,1500616.0,64730839.0,0.0,1317104.0
2,1,2,30,10,0,1,1,1500920.0,1500920.0,1500920.0,65083739.0,0.0,1317104.0
2,1,2,30,20,0,1,1,1500602.0,1500602.0,1500602.0,66270350.0,0.0,1317104.0
2,1,2,30,30,0,1,0,0.0,0.0,0.0,3501703.0,0.0,41316.0
2,1,2,60,0,0,1,1,1500926.0,1500926.0,1500926.0,66458334.0,0.0,1317104.0
2,1,2,60,2,0,1,1,1500178.0,1500178.0,1500178.0,69297438.0,0.0,1317104.0
2,1,2,60,5,0,1,1,15504218.0,15504218.0,15504218.0,63789506.0,0.0,1317104.0
2,1,2,60,10,0,1,1,1500597.0,1500597.0,1500597.0,64847867.0,0.0,1317104.0
2,1,2,60,20,0,1,1,1500753.0,1500753.0,1500753.0,64433346.0,0.0,1317104.0
2,1,2,60,30,0,1,1,1500929.0,1500929.0,1500929.0,64304214.0,0.0,1317104.0
2,1,2,60,60,0,1,0,0.0,0.0,0.0,3504143.0,0.0,41316.0
2,1,2,120,0,0,1,1,8503423.0,8503423.0,8503423.0,64277752.0,0.0,1317104.0
2,1,2,120,2,0,1,1,1500944.0,1500944.0,1500944.0,64873030.0,0.0,1317104.0
2,1,2,120,5,0,1,1,1500958.0,1500958.0,1500958.0,63384798.0,0.0,1317104.0
2,1,2,120,10,0,1,1,1501215.0,1501215.0,1501215.0,64249030.0,0.0,1317104.0
