baseline,orbit_from,orbit_to,handover_time_s,lead_time_s,loss,n_runs,n_converged,t90_median_us,t90_p25_us,t90_p75_us,goodput_mean_bytes,goodput_ci95_bytes,peak_queue_median,ss_mean_bps,ss_stddev_bps
0,2,0,60,2,0,1,1,2500662.0,2500662.0,2500662.0,341444470.0,0.0,1638720.0,50349854.0,74319.0
0,2,0,60,5,0,1,1,2500662.0,2500662.0,2500662.0,341444470.0,0.0,1638720.0,50349854.0,74319.0
0,2,0,60,10,0,1,1,2500662.0,2500662.0,2500662.0,341444470.0,0.0,1638720.0,50349854.0,74319.0
0,2,0,60,20,0,1,1,2500662.0,2500662.0,2500662.0,341444470.0,0.0,1638720.0,50349854.0,74319.0
0,2,0,60,30,0,1,1,2500662.0,2500662.0,2500662.0,341444470.0,0.0,1638720.0,50349854.0,74319.0
0,2,0,60,60,0,1,1,2500662.0,2500662.0,2500662.0,341444470.0,0.0,1638720.0,50349854.0,74319.0
0,2,0,120,0,0,1,1,1500487.0,1500487.0,1500487.0,342962959.0,0.0,1638720.0,50344856.0,71178.0
0,2,0,120,2,0,1,1,1500487.0,1500487.0,1500487.0,342962959.0,0.0,1638720.0,50344856.0,71178.0
0,2,0,120,5,0,1,1,1500487.0,1500487.0,1500487.0,342962959.0,0.0,1638720.0,50344856.0,71178.0
0,2,0,120,10,0,1,1,1500487.0,1500487.0,1500487.0,342962959.0,0.0,1638720.0,50344856.0,71178.0
0,2,0,120,20,0,1,1,1500487.0,1500487.0,1500487.0,342962959.0,0.0,1638720.0,50344856.0,71178.0
0,2,0,120,30,0,1,1,1500487.0,1500487.0,1500487.0,342962959.0,0.0,1638720.0,50344856.0,71178.0
0,2,0,120,60,0,1,1,1500487.0,1500487.0,1500487.0,342962959.0,0.0,1638720.0,50344856.0,71178.0
0,2,1,30,0,0,1,1,1500256.0,1500256.0,1500256.0,204432841.0,0.0,1638720.0,30237499.0,155650.0
0,2,1,30,2,0,1,1,1500256.0,1500256.0,1500256.0,204432841.0,0.0,1638720.0,30237499.0,155650.0
0,2,1,30,5,0,1,1,1500256.0,1500256.0,1500256.0,204432841.0,0.0,1638720.0,30237499.0,155650.0
0,2,1,30,10,0,1,1,1500256.0,1500256.0,1500256.0,204432841.0,0.0,1638720.0,30237499.0,155650.0
0,2,1,30,20,0,1,1,1500256.0,1500256.0,1500256.0,204432841.0,0.0,1638720.0,30237499.0,155650.0
0,2,1,30,30,0,1,1,1500256.0,1500256.0,1500256.0,204432841.0,0.0,1638720.0,30237499.0,155650.0
0,2,1,60,0,0,1,1,2500150.0,2500150.0,2500150.0,204926277.0,0.0,1638720.0,30223438.0,123977.0
0,2,1,60,2,0,1,1,2500150.0,2500150.0,2500150.0,204926277.0,0.0,1638720.0,30223438.0,123977.0
0,2,1,60,5,0,1,1,2500150.0,2500150.0,2500150.0,204926277.0,0.0,1638720.0,30223438.0,123977.0
0,2,1,60,10,0,1,1,2500150.0,2500150.0,2500150.0,204926277.0,0.0,1638720.0,30223438.0,123977.0
0,2,1,60,20,0,1,1,2500150.0,2500150.0,2500150.0,204926277.0,0.0,1638720.0,30223438.0,123977.0
0,2,1,60,30,0,1,1,2500150.0,2500150.0,2500150.0,204926277.0,0.0,1638720.0,30223438.0,123977.0
0,2,1,60,60,0,1,1,2500150.0,2500150.0,2500150.0,204926277.0,0.0,1638720.0,30223438.0,123977.0
0,2,1,120,0,0,1,1,1500658.0,1500658.0,1500658.0,204262704.0,0.0,1638720.0,30230309.0,142041.0
0,2,1,120,2,0,1,1,1500658.0,1500658.0,1500658.0,204262704.0,0.0,1638720.0,30230309.0,142041.0
0,2,1,120,5,0,1,1,1500658.0,1500658.0,1500658.0,204262704.0,0.0,1638720.0,30230309.0,142041.0
0,2,1,120,10,0,1,1,1500658.0,1500658.0,1500658.0,204262704.0,0.0,1638720.0,30230309.0,142041.0
0,2,1,120,20,0,1,1,1500658.0,1500658.0,1500658.0,204262704.0,0.0,1638720.0,30230309.0,142041.0
0,2,1,120,30,0,1,1,1500658.0,1500658.0,1500658.0,204262704.0,0.0,1638720.0,30230309.0,142041.0
0,2,1,120,60,0,1,1,1500658.0,1500658.0,1500658.0,204262704.0,0.0,1638720.0,30230309.0,142041.0
2,0,1,30,0,0,1,1,500164.0,500164.0,500164.0,197064779.0,0.0,764972.0,29223845.0,3089176.0
2,0,1,30,2,0,1,1,500164.0,500164.0,500164.0,197064779.0,0.0,764972.0,29223845.0,3089176.0
2,0,1,30,5,0,1,1,500142.0,500142.0,500142.0,197053662.0,0.0,764972.0,29041118.0,2373116.0
2,0,1,30,10,0,1,1,2500501.0,2500501.0,2500501.0,195891724.0,0.0,764972.0,29113115.0,2676263.0
2,0,1,30,20,0,1,1,500072.0,500072.0,500072.0,196680920.0,0.0,764972.0,29080630.0,2401118.0
2,0,1,30,30,0,1,0,0.0,0.0,0.0,8566511.0,0.0,28796.0,1314865.0,11169.0
2,0,1,60,0,0,1,1,500080.0,500080.0,500080.0,151831882.0,0.0,764972.0,28842795.0,2214138.0
2,0,1,60,2,0,1,1,6500771.0,6500771.0,6500771.0,151851370.0,0.0,764972.0,28914586.0,2825836.0
2,0,1,60,5,0,1,1,7500967.0,7500967.0,7500967.0,151870858.0,0.0,1318356.0,30067099.0,141460.0
2,0,1,60,10,0,1,1,500009.0,500009.0,500009.0,151909834.0,0.0,764972.0,28649733.0,2715750.0
2,0,1,60,20,0,1,1,500145.0,500145.0,500145.0,164417463.0,0.0,764972.0,29029479.0,2182625.0
2,0,1,60,30,0,1,1,7504648.0,7504648.0,7504648.0,152064519.0,0.0,1269528.0,30082198.0,155084.0
2,0,1,60,60,0,1,0,0.0,0.0,0.0,8566500.0,0.0,28796.0,1314865.0,10691.0
2,0,1,120,0,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0,0.0,0.0
2,0,1,120,2,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0,0.0,0.0
2,0,1,120,5,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0,0.0,0.0
2,0,1,120,10,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0,0.0,0.0
2,0,1,120,20,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0,0.0,0.0
2,0,1,120,30,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0,0.0,0.0
2,0,1,120,60,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0,0.0,0.0
2,0,2,30,0,0,1,0,0.0,0.0,0.0,5368586.0,0.0,33120391.0,0.0,0.0
2,0,2,30,2,0,1,0,0.0,0.0,0.0,5368586.0,0.0,33120391.0,0.0,0.0
2,0,2,30,5,0,1,0,0.0,0.0,0.0,8977021.0,0.0,35719636.0,29227.0,164818.0
2,0,2,30,10,0,1,0,0.0,0.0,0.0,7234045.0,0.0,34901938.0,183900.0,1085591.0
2,0,2,30,20,0,1,0,0.0,0.0,0.0,7233311.0,0.0,36134856.0,141.0,836.0
2,0,2,30,30,0,1,0,0.0,0.0,0.0,2601414.0,0.0,30048.0,396053.0,74984.0
2,0,2,60,0,0,1,0,0.0,0.0,0.0,6258082.0,0.0,36638988.0,0.0,0.0
2,0,2,60,2,0,1,0,0.0,0.0,0.0,7414264.0,0.0,40795464.0,409.0,2421.0
2,0,2,60,5,0,1,0,0.0,0.0,0.0,6567754.0,0.0,40636774.0,389.0,1735.0
2,0,2,60,10,0,1,0,0.0,0.0,0.0,9091314.0,0.0,36683279.0,6225.0,28142.0
2,0,2,60,20,0,1,0,0.0,0.0,0.0,5660989.0,0.0,29017506.0,139.0,825.0
2,0,2,60,30,0,1,0,0.0,0.0,0.0,7477570.0,0.0,36502876.0,31531.0,164203.0
2,0,2,60,60,0,1,0,0.0,0.0,0.0,2600198.0,0.0,30048.0,396053.0,76759.0
2,0,2,120,0,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0,0.0,0.0
2,0,2,120,2,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0,0.0,0.0
2,0,2,120,5,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0,0.0,0.0
2,0,2,120,10,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0,0.0,0.0
2,0,2,120,20,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0,0.0,0.0
2,0,2,120,30,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0,0.0,0.0
2,0,2,120,60,0,1,0,0.0,0.0,0.0,524288000.0,0.0,764972.0,0.0,0.0
2,1,0,30,0,0,1,1,2500381.0,2500381.0,2500381.0,338555606.0,0.0,1317104.0,49922738.0,75095.0
2,1,0,30,2,0,1,1,500020.0,500020.0,500020.0,343209595.0,0.0,1317104.0,49918410.0,73217.0
2,1,0,30,5,0,1,1,500035.0,500035.0,500035.0,343214468.0,0.0,1317104.0,49920846.0,71517.0
2,1,0,30,10,0,1,1,500014.0,500014.0,500014.0,343231531.0,0.0,1317104.0,49922470.0,72455.0
2,1,0,30,20,0,1,1,500021.0,500021.0,500021.0,343240033.0,0.0,1317104.0,49922467.0,75925.0
2,1,0,30,30,0,1,0,0.0,0.0,0.0,24333633.0,0.0,27544.0,3557998.0,7007.0
2,1,0,60,0,0,1,1,500021.0,500021.0,500021.0,304314277.0,0.0,1317104.0,49920690.0,69633.0
2,1,0,60,2,0,1,1,500025.0,500025.0,500025.0,304946419.0,0.0,1317104.0,49921026.0,69595.0
2,1,0,60,5,0,1,1,500157.0,500157.0,500157.0,306065761.0,0.0,1317104.0,49924152.0,72812.0
2,1,0,60,10,0,1,1,500240.0,500240.0,500240.0,304423909.0,0.0,1317104.0,49921026.0,78510.0
2,1,0,60,20,0,1,1,500096.0,500096.0,500096.0,304568851.0,0.0,1317104.0,49921362.0,74503.0
2,1,0,60,30,0,1,1,500024.0,500024.0,500024.0,304678471.0,0.0,1317104.0,49921362.0,72896.0
2,1,0,60,60,0,1,0,0.0,0.0,0.0,24339723.0,0.0,27544.0,3558540.0,7893.0
2,1,0,120,0,0,1,1,2500287.0,2500287.0,2500287.0,78772747.0,0.0,1317104.0,4406564.0,4406564.0
2,1,0,120,2,0,1,1,500039.0,500039.0,500039.0,78810505.0,0.0,1317104.0,15699284.0,15699284.0
2,1,0,120,5,0,1,1,500053.0,500053.0,500053.0,78847045.0,0.0,1317104.0,31525240.0,0.0
2,1,0,120,10,0,1,1,500310.0,500310.0,500310.0,78918907.0,0.0,1317104.0,31700632.0,0.0
2,1,0,120,20,0,1,1,500185.0,500185.0,500185.0,79065067.0,0.0,1317104.0,16547012.0,16547012.0
2,1,0,120,30,0,1,1,500004.0,500004.0,500004.0,79178341.0,0.0,1317104.0,16970876.0,16970876.0
2,1,0,120,60,0,1,1,500117.0,500117.0,500117.0,79575421.0,0.0,1317104.0,18705356.0,18705356.0
2,1,2,30,0,0,1,1,1501206.0,1501206.0,1501206.0,62748234.0,0.0,1317104.0,10163802.0,2750770.0
2,1,2,30,2,0,1,1,1500601.0,1500601.0,1500601.0,66101490.0,0.0,1317104.0,10027288.0,86304.0
2,1,2,30,5,0,1,1,1500616.0,1500616.0,1500616.0,64730839.0,0.0,1317104.0,10183351.0,3313505.0
2,1,2,30,10,0,1,1,1500920.0,1500920.0,1500920.0,65083739.0,0.0,1317104.0,10198358.0,3245284.0
2,1,2,30,20,0,1,1,1500602.0,1500602.0,1500602.0,66270350.0,0.0,1317104.0,10201810.0,3003529.0
2,1,2,30,30,0,1,0,0.0,0.0,0.0,3501703.0,0.0,41316.0,535909.0,4052.0
2,1,2,60,0,0,1,1,1500926.0,1500926.0,1500926.0,66458334.0,0.0,1317104.0,10033306.0,80929.0
2,1,2,60,2,0,1,1,1500178.0,1500178.0,1500178.0,69297438.0,0.0,1317104.0,10198456.0,2653774.0
2,1,2,60,5,0,1,1,15504218.0,15504218.0,15504218.0,63789506.0,0.0,1317104.0,10174086.0,2974081.0
2,1,2,60,10,0,1,1,1500597.0,1500597.0,1500597.0,64847867.0,0.0,1317104.0,10192913.0,1014239.0
2,1,2,60,20,0,1,1,1500753.0,1500753.0,1500753.0,64433346.0,0.0,1317104.0,10126059.0,1807190.0
2,1,2,60,30,0,1,1,1500929.0,1500929.0,1500929.0,64304214.0,0.0,1317104.0,10021872.0,80007.0
2,1,2,60,60,0,1,0,0.0,0.0,0.0,3504143.0,0.0,41316.0,536180.0,4912.0
2,1,2,120,0,0,1,1,8503423.0,8503423.0,8503423.0,64277752.0,0.0,1317104.0,10037641.0,78570.0
2,1,2,120,2,0,1,1,1500944.0,1500944.0,1500944.0,64873030.0,0.0,1317104.0,10190489.0,2705846.0
2,1,2,120,5,0,1,1,1500958.0,1500958.0,1500958.0,63384798.0,0.0,1317104.0,10173692.0,1683239.0
2,1,2,120,10,0,1,1,1501215.0,1501215.0,1501215.0,64249030.0,0.0,1317104.0,10179394.0,2261477.0
2,1,2,120,20,0,1,1,1500843.0,1500843.0,1500843.0,64695372.0,0.0,1317104.0,10183361.0,3312775.0
2,1,2,120,30,0,1,1,1500585.0,1500585.0,1500585.0,66096866.0,0.0,1317104.0,10024365.0,82762.0
2,1,2,120,60,0,1,1,1501022.0,1501022.0,1501022.0,66158451.0,0.0,1317104.0,10021061.0,83030.0
2,2,0,30,0,0,1,1,1500190.0,1500190.0,1500190.0,342743587.0,0.0,1638720.0,50344850.0,63143.0
2,2,0,30,2,0,1,1,1500495.0,1500495.0,1500495.0,343065585.0,0.0,1638720.0,50345168.0,73613.0
2,2,0,30,5,0,1,1,1500603.0,1500603.0,1500603.0,343747529.0,0.0,1638720.0,50345165.0,69648.0
2,2,0,30,10,0,1,1,2500819.0,2500819.0,2500819.0,342138535.0,0.0,1638720.0,50349230.0,71170.0
2,2,0,30,20,0,1,1,1500394.0,1500394.0,1500394.0,343806583.0,0.0,1638720.0,50349230.0,72462.0
2,2,0,30,30,0,1,1,1502279.0,1502279.0,1502279.0,342847714.0,0.0,1638720.0,50349852.0,71731.0
2,2,0,60,0,0,1,1,2500662.0,2500662.0,2500662.0,341444470.0,0.0,1638720.0,50349854.0,74319.0
2,2,0,60,2,0,1,1,1501053.0,1501053.0,1501053.0,341116862.0,0.0,1638720.0,50349224.0,73887.0
2,2,0,60,5,0,1,1,1501032.0,1501032.0,1501032.0,343598505.0,0.0,1638720.0,50349230.0,75150.0
2,2,0,60,10,0,1,1,1500140.0,1500140.0,1500140.0,343710947.0,0.0,1638720.0,50349537.0,71526.0
2,2,0,60,20,0,1,1,2500850.0,2500850.0,2500850.0,342938598.0,0.0,1638720.0,50349227.0,68772.0
2,2,0,60,30,0,1,1,1500821.0,1500821.0,1500821.0,343685651.0,0.0,1638720.0,50344853.0,72695.0
2,2,0,60,60,0,1,1,1506649.0,1506649.0,1506649.0,342736627.0,0.0,1638720.0,50349227.0,72183.0
2,2,0,120,0,0,1,1,1500487.0,1500487.0,1500487.0,342962959.0,0.0,1638720.0,50344856.0,71178.0
2,2,0,120,2,0,1,1,1500404.0,1500404.0,1500404.0,343124649.0,0.0,1638720.0,50345168.0,71326.0
2,2,0,120,5,0,1,1,1501024.0,1501024.0,1501024.0,343795320.0,0.0,1638720.0,50348917.0,73122.0
2,2,0,120,10,0,1,1,1500844.0,1500844.0,1500844.0,343557705.0,0.0,1638720.0,50353292.0,74813.0
2,2,0,120,20,0,1,1,2500905.0,2500905.0,2500905.0,343430588.0,0.0,1638720.0,50350792.0,71237.0
