Starting test number 345, bbr_sat_fairness_f1_sweep
scenario,lead_time_s,t_s,flow1_rate_bps,flow2_rate_bps,jains_index
F1,10,77,1146896,1000752,0.9954
F1,10,78,1012000,1124400,0.9972
F1,10,79,1214304,1079408,0.9966
F1,10,80,1236880,1000752,0.9890
F1,10,81,989424,1124400,0.9959
F1,10,82,1146896,1090656,0.9994
F1,10,83,1304368,1012000,0.9843
F1,10,84,1011920,1101904,0.9982
F1,10,85,1056912,1135648,0.9987
F1,10,86,1326784,1023248,0.9836
F1,10,87,1068240,1045664,0.9999
F1,10,88,978176,1191888,0.9904
F1,10,89,1349280,1034496,0.9829
F1,10,90,1090656,1023168,0.9990
F1,15,1,3946624,4025376,0.9999
F1,15,2,5019128,4760320,0.9993
F1,15,3,4938632,4668632,0.9992
F1,15,4,5049328,4723224,0.9989
F1,15,5,5015672,4756880,0.9993
F1,15,6,5015600,4633224,0.9984
F1,15,7,5105536,4779424,0.9989
F1,15,8,4970680,4801752,0.9997
F1,15,9,4498264,4273408,0.9993
F1,15,10,4903120,4869440,1.0000
F1,15,11,4408440,4464608,1.0000
F1,15,12,5521656,5150448,0.9988
F1,15,13,4936936,4835704,0.9999
F1,15,14,4419632,4183280,0.9992
F1,15,15,5296864,4464584,0.9928
F1,15,16,5116768,4655616,0.9978
F1,15,17,4993176,4768192,0.9995
F1,15,18,4959424,4813224,0.9998
F1,15,19,4948168,4824384,0.9998
F1,15,20,4352128,4352232,1.0000
F1,15,21,4993096,4779472,0.9995
F1,15,22,5094360,4678144,0.9982
F1,15,23,5173072,4599504,0.9966
F1,15,24,4948216,4813200,0.9998
F1,15,25,4993080,4779384,0.9995
F1,15,26,4340952,4385880,1.0000
F1,15,27,4936872,4835648,0.9999
F1,15,28,4993104,4779384,0.9995
F1,15,29,4802008,4487040,0.9989
F1,15,30,5386688,4858056,0.9973
F1,15,31,910728,899480,1.0000
F1,15,32,1180480,1079328,0.9980
F1,15,33,1056832,1034416,0.9999
F1,15,34,1034336,1090672,0.9993
F1,15,35,1157984,1214328,0.9994
F1,15,36,978096,1056992,0.9985
F1,15,37,876944,1079408,0.9894
F1,15,38,1259216,1225632,0.9998
F1,15,39,1056832,1259296,0.9924
F1,15,40,1124320,1281872,0.9957
F1,15,41,1191808,1326784,0.9971
F1,15,42,1124320,1225552,0.9981
F1,15,43,1101824,1270624,0.9950
F1,15,44,1169232,1338032,0.9955
F1,15,45,1124320,1281792,0.9957
F1,15,46,1124320,1214384,0.9985
F1,15,47,1135488,1371776,0.9912
F1,15,48,1180560,1259296,0.9990
F1,15,49,1079328,1259376,0.9941
F1,15,50,1146816,1304288,0.9959
F1,15,51,1202976,1293040,0.9987
F1,15,52,1079328,1259376,0.9941
F1,15,53,1090576,1338032,0.9897
F1,15,54,1214304,1293040,0.9990
F1,15,55,1101824,1248048,0.9961
F1,15,56,1079328,1349360,0.9878
F1,15,57,1225552,1281792,0.9995
F1,15,58,1090576,1248048,0.9955
F1,15,59,1124320,1304368,0.9945
F1,15,60,1191728,1315536,0.9976
F1,15,61,1124320,1225552,0.9981
F1,15,62,1101824,1281872,0.9943
F1,15,63,1169312,1338032,0.9955
F1,15,64,1124320,1270544,0.9963
F1,15,65,1124320,1214384,0.9985
F1,15,66,1135568,1383024,0.9904
F1,15,67,1169312,1259296,0.9986
F1,15,68,1090576,1248128,0.9955
F1,15,69,1135568,1315536,0.9946
F1,15,70,1202976,1293040,0.9987
F1,15,71,1090576,1248128,0.9955
F1,15,72,1090576,1349280,0.9889
F1,15,73,1214304,1281792,0.9993
F1,15,74,1090576,1259296,0.9949
F1,15,75,1079328,1349360,0.9878
F1,15,76,1225552,1281792,0.9995
F1,15,77,1090576,1248048,0.9955
F1,15,78,1135568,1304368,0.9952
F1,15,79,1191728,1304288,0.9980
F1,15,80,1113072,1236800,0.9972
F1,15,81,1090656,1281872,0.9935
F1,15,82,1191728,1338032,0.9967
F1,15,83,1124320,1259296,0.9968
F1,15,84,1124320,1225632,0.9981
F1,15,85,1135568,1383024,0.9904
F1,15,86,1158064,1259296,0.9982
F1,15,87,1101824,1236880,0.9967
F1,15,88,1135520,1326784,0.9940
F1,15,89,1191728,1293040,0.9983
F1,15,90,1101824,1236880,0.9967
F1,20,1,4104216,3834032,0.9988
F1,20,2,5030360,4737800,0.9991
F1,20,3,4859824,4713832,0.9998
F1,20,4,4869456,4903280,1.0000
F1,20,5,4936840,4835584,0.9999
F1,20,6,4936832,4824376,0.9999
F1,20,7,4970712,4801936,0.9997
F1,20,8,4903192,4869368,1.0000
F1,20,9,4419704,4284712,0.9998
F1,20,10,4813216,4959416,0.9998
F1,20,11,4824464,4948072,0.9998
F1,20,12,4914344,4858208,1.0000
F1,20,13,4903208,4869456,1.0000
F1,20,14,4239608,4160928,0.9999
F1,20,15,5116920,4655720,0.9978
F1,20,16,4903224,4858224,1.0000
F1,20,17,4801952,4970576,0.9997
F1,20,18,4869456,4903224,1.0000
F1,20,19,4903048,4869464,1.0000
F1,20,20,4329632,4430880,0.9999
F1,20,21,4925784,4846952,0.9999
F1,20,22,5060592,4711984,0.9987
