baseline,orbit_from,orbit_to,handover_time_s,lead_time_s,loss,seed,run_id,t90_us,goodput_bytes,peak_queue,converged,ss_mean_bps,ss_stddev_bps
0,0,2,60,60,0,480468219,5,12618887,2461214,12884043,1,466,1803
0,0,2,60,60,0,1558990517,6,12618887,2461214,12884043,1,466,1803
0,0,2,60,60,0,1028439863,8,12618887,2461214,12884043,1,466,1803
0,0,2,60,60,0,1320763135,7,12618887,2461214,12884043,1,466,1803
0,0,2,60,60,0,248786714,9,12618887,2461214,12884043,1,466,1803
0,0,2,120,0,0,338258951,1,15719630,2137796,12155390,1,4052,23973
0,0,2,120,0,0,1034535593,0,15719630,2137796,12155390,1,4052,23973
0,0,2,120,0,0,367878761,2,15719630,2137796,12155390,1,4052,23973
0,0,2,120,0,0,2087313121,3,15719630,2137796,12155390,1,4052,23973
0,0,2,120,0,0,297265480,4,15719630,2137796,12155390,1,4052,23973
0,0,2,120,0,0,540137296,5,15719630,2137796,12155390,1,4052,23973
0,0,2,120,0,0,2041322270,7,15719630,2137796,12155390,1,4052,23973
0,0,2,120,0,0,551437149,6,15719630,2137796,12155390,1,4052,23973
0,0,2,120,0,0,709214891,8,15719630,2137796,12155390,1,4052,23973
0,0,2,120,0,0,1138409539,9,15719630,2137796,12155390,1,4052,23973
0,0,2,120,2,0,1817363615,0,15719630,2137796,12155390,1,4052,23973
0,0,2,120,2,0,909666337,1,15719630,2137796,12155390,1,4052,23973
0,0,2,120,2,0,863937247,2,15719630,2137796,12155390,1,4052,23973
0,0,2,120,2,0,1338811290,3,15719630,2137796,12155390,1,4052,23973
0,0,2,120,2,0,1713658874,4,15719630,2137796,12155390,1,4052,23973
0,0,2,120,2,0,1603828849,5,15719630,2137796,12155390,1,4052,23973
0,0,2,120,2,0,1881625505,6,15719630,2137796,12155390,1,4052,23973
0,0,2,120,2,0,1939118223,7,15719630,2137796,12155390,1,4052,23973
0,0,2,120,2,0,519709079,8,15719630,2137796,12155390,1,4052,23973
0,0,2,120,2,0,1064746525,9,15719630,2137796,12155390,1,4052,23973
0,0,2,120,5,0,965067727,0,15719630,2137796,12155390,1,4052,23973
0,0,2,120,5,0,274989148,1,15719630,2137796,12155390,1,4052,23973
0,0,2,120,5,0,1452066459,2,15719630,2137796,12155390,1,4052,23973
0,0,2,120,5,0,945826486,5,15719630,2137796,12155390,1,4052,23973
0,0,2,120,5,0,90341465,3,15719630,2137796,12155390,1,4052,23973
0,0,2,120,5,0,988335251,4,15719630,2137796,12155390,1,4052,23973
0,0,2,120,5,0,30884438,6,15719630,2137796,12155390,1,4052,23973
0,0,2,120,5,0,304912982,7,15719630,2137796,12155390,1,4052,23973
0,0,2,120,5,0,252860896,8,15719630,2137796,12155390,1,4052,23973
0,0,2,120,5,0,983297492,9,15719630,2137796,12155390,1,4052,23973
0,0,2,120,10,0,289482182,0,15719630,2137796,12155390,1,4052,23973
0,0,2,120,10,0,134917627,1,15719630,2137796,12155390,1,4052,23973
0,0,2,120,10,0,1419179580,2,15719630,2137796,12155390,1,4052,23973
0,0,2,120,10,0,304330003,3,15719630,2137796,12155390,1,4052,23973
0,0,2,120,10,0,1022222125,4,15719630,2137796,12155390,1,4052,23973
0,0,2,120,10,0,1196050747,5,15719630,2137796,12155390,1,4052,23973
0,0,2,120,10,0,920140090,7,15719630,2137796,12155390,1,4052,23973
0,0,2,120,10,0,2084839399,6,15719630,2137796,12155390,1,4052,23973
0,0,2,120,10,0,568275055,8,15719630,2137796,12155390,1,4052,23973
0,0,2,120,10,0,2030106617,9,15719630,2137796,12155390,1,4052,23973
0,0,2,120,20,0,2031403296,1,15719630,2137796,12155390,1,4052,23973
0,0,2,120,20,0,1043665192,0,15719630,2137796,12155390,1,4052,23973
0,0,2,120,20,0,817804383,3,15719630,2137796,12155390,1,4052,23973
0,0,2,120,20,0,1748309234,2,15719630,2137796,12155390,1,4052,23973
0,0,2,120,20,0,405126228,4,15719630,2137796,12155390,1,4052,23973
0,0,2,120,20,0,416314667,5,15719630,2137796,12155390,1,4052,23973
0,0,2,120,20,0,1851350739,6,15719630,2137796,12155390,1,4052,23973
0,0,2,120,20,0,1521696479,7,15719630,2137796,12155390,1,4052,23973
0,0,2,120,20,0,1819256337,8,15719630,2137796,12155390,1,4052,23973
0,0,2,120,20,0,1765670844,9,15719630,2137796,12155390,1,4052,23973
0,0,2,120,30,0,2005855667,0,15719630,2137796,12155390,1,4052,23973
0,0,2,120,30,0,232663462,1,15719630,2137796,12155390,1,4052,23973
0,0,2,120,30,0,422701550,2,15719630,2137796,12155390,1,4052,23973
0,0,2,120,30,0,260329455,3,15719630,2137796,12155390,1,4052,23973
0,0,2,120,30,0,1729245242,4,15719630,2137796,12155390,1,4052,23973
0,0,2,120,30,0,1457293575,5,15719630,2137796,12155390,1,4052,23973
0,0,2,120,30,0,469306919,6,15719630,2137796,12155390,1,4052,23973
0,0,2,120,30,0,1067970820,7,15719630,2137796,12155390,1,4052,23973
0,0,2,120,30,0,822873088,8,15719630,2137796,12155390,1,4052,23973
0,0,2,120,30,0,816941039,9,15719630,2137796,12155390,1,4052,23973
0,0,2,120,60,0,1926780541,0,15719630,2137796,12155390,1,4052,23973
0,0,2,120,60,0,602078388,1,15719630,2137796,12155390,1,4052,23973
0,0,2,120,60,0,1811967841,2,15719630,2137796,12155390,1,4052,23973
0,0,2,120,60,0,788075126,3,15719630,2137796,12155390,1,4052,23973
0,0,2,120,60,0,1196342297,4,15719630,2137796,12155390,1,4052,23973
